debate_id,title,turn1,turn2,actual,confidence,predicted
D154,"Implementation of Differentiated, Age-tiered Payout Ratios under Workfare Income Supplement Scheme","asked the Minister for Manpower (a) what is the rationale for maintaining the Workfare payout ratio of 60% CPF and 40% cash for workers aged 70 and above, who have significantly shorter expected lifespans than workers aged 60 to 69; and (b) whether the Ministry will consider implementing a differentiated, age-tiered Workfare payout ratio that provides higher cash component for older workers to better support their immediate needs.","The Workfare Income Supplement (WIS) is designed to supplement the incomes of lower-wage workers and build up their Central Provident Fund (CPF) savings for retirement, housing and healthcare. The current 40% cash and 60% CPF payout structure reflects this dual objective in helping lower-wage workers meet their immediate needs, while building up CPF savings for future needs. 1 Although the cash to CPF ratio is the same for workers aged 70 and above, the CPF component of WIS effectively supports their near-term needs. The CPF component that goes into their MediSave Account can be used to defray medical expenses. The part that goes into the Retirement Account is converted into retirement payouts. The Ministry of Manpower has recently enhanced WIS payments from 2025 across all age bands, which increases the quantum of cash received. For example, a 70-year-old employee earning $1,700 a month saw their total WIS payment increase from $4,200 to $4,900 per year from 2025. The cash quantum correspondingly increased from $1,680 to $1,960. To support seniors with greater financial needs, the Government has provided various forms of support to help Singaporeans cope with cost-of-living concerns. For instance, Budget 2026 introduced support measures such as: up to $570 of U-Save rebates in FY2026 for eligible Singaporean Housing and Development Board households, to help with their utilities expenses; $200 to $400 Cost-of-Living Special Payment in cash for eligible Singaporean adults; and $500 Community Development Council Vouchers for all Singaporean households.",Labour & Workforce,HIGH,Social & Family Policy
D156,Excessive Price Pass-through to Essential Goods from Global Supply Chain Disruptions and Rising Rentals,asked the Deputy Prime Minister and Minister for Trade and Industry (a) how is the Ministry working with retailers and suppliers to ensure essential goods remain affordable for Singaporeans; and (b) what safeguards exist to prevent excessive price pass-through from global supply chain disruptions and rising rental costs.,"As a small and open economy that imports most of its supplies, Singapore is subject to global economic forces and supply chain disruptions. To mitigate against these, the Government's approach is to diversify our import sources. We achieve this through various strategies, including maintaining a comprehensive network of Free Trade Agreements, to facilitate access to a broad range of goods and services across different markets and provide consumers with more choices. We also monitor for and take robust enforcement action against anti-competitive practices. This ensures that businesses compete and price their goods fairly. The Government recognises Singaporeans' concerns about higher household expenses. That is why Budget 2025 introduced additional support measures, such as the recent $800 in Community Development Council (CDC) Vouchers for all Singaporean households and additional U-Save rebates for eligible HDB households to cope with their utilities expenses. Furthermore, the Government also provided the one-off commemorative SG60 vouchers, worth $600, to adult Singaporeans and $800 to older seniors, that will also offer some cost relief. We are continuing our joint efforts with businesses to provide affordable choices to Singaporeans and help consumers make more informed purchasing decisions. Since 1 September, major supermarket operators – NTUC FairPrice, Sheng Siong, and Prime Supermarket – have launched a pilot to display unit prices for selected grocery items. Cold Storage and Giant supermarkets will come on board next month on 31 October. This initiative helps consumers easily compare prices across different brands and package sizes to find the best-value buys and deals, and to stretch their dollar. The insights gained from this pilot will inform the Government's plans to roll out unit pricing more widely. Supermarket operators also have various initiatives to keep prices of essential items affordable. For instance, FairPrice's Everyday Low Price campaign offers consumers over 500 products and there are regular discounts for Community Health Assist Scheme (CHAS) cardholders and seniors. In addition, many businesses are providing SG60 discounts for food and other essential goods to mark Singapore's 60th.",Social & Family Policy,HIGH,Other / Cross-cutting
D157,Data on School Bus Fares for Primary School Children and Ensuring Affordability of Fares,asked the Minister for Education (a) whether the Ministry can provide data on the school bus fares for primary school children over the past five years; (b) what measures are currently implemented to help make school bus fares more affordable; and (c) whether the Ministry is considering introducing additional measures to further reduce or manage school bus fares in the future.,"School bus fares are determined through a competitive bidding process and contracts usually last two years or more. For new school bus contracts that commenced in 2025, the average increase in bus fares from 2024 was 7% for trips up to 2km and 1% for longer trips of beyond 2km to 4km. Low-income families under the Ministry of Education (MOE) Financial Assistance Scheme receive a subsidy for primary school students taking the school bus fares. This subsidy was raised from 60% of monthly school bus fares to 65% in January 2023. For those who need more help, schools will continue to provide additional financial support beyond the school bus subsidy. The Government has implemented measures to help school bus operators keep their operating costs low, so they can offer more affordable bus fares. For example, school buses are exempted from Certificate of Entitlement requirements. Private Hire and Excursion Bus operators who use their buses to provide school bus services are eligible for a 50% road tax rebate by the Land Transport Authority. Eligible school bus operators are also provided with additional foreign worker quotas to help them recruit sufficient drivers. MOE will continue to closely monitor the school bus fare situation and step up financial support, if necessary.",Education,HIGH,Transport
D177,Recurring Complaints about Night-time Noise from Delivery Trucks in HDB Estates,"asked the Minister for Sustainability and the Environment (a) whether there are recurring complaints about night-time noise from delivery trucks in HDB estates; and (b) if so, whether the Ministry will consider introducing clearer and enforceable guidelines for quiet night deliveries that cover vehicle idling, unloading practices and equipment use while balancing logistics needs, enforcement practicality and residents' right to undisturbed sleep.","The National Environment Agency (NEA) and Housing and Development Board (HDB) receive several cases of feedback on night-time noise from delivery vehicles in HDB estates each year. Upon receiving such feedback, NEA takes enforcement action on the drivers under the Environmental Protection and Management (Vehicular Emissions) regulations, if they are found to have left the engine idling unnecessarily. HDB also engages HDB shop owners and tenants on measures to reduce noise from delivery activities at night, such as adjusting the delivery schedules where possible. Agencies will continue to monitor and respond to noise feedback received to safeguard public health and well-being.",Environment,LOW,Housing & Property
D181,Refund Demands on Ineligible Recipients of Self-Employed Person Income Relief Scheme,asked the Minister for Manpower (a) how many individuals received Self-Employed Person Income Relief Scheme (SIRS) payouts but were later deemed ineligible; (b) how many were asked only after 2023 to return the payouts; (c) where were the reasons for the delays in refund demands; and (d) whether the cash flow impact on affected individuals was considered when making these demands.,"The Self-Employed Person Income Relief Scheme (SIRS) was introduced in 2020 to help Singaporean Self-Employed Persons (SEPs) with less means and family support, and whose livelihoods were impacted by the COVID-19 pandemic. To provide timely assistance, eligibility was assessed based on applicants' declarations, for example, trade income and properties owned. Applicants whose declarations met the eligibility criteria received payouts. Approximately 2,200 SIRS recipients, representing around 1% of all SIRS recipients, were subsequently found to be ineligible following comprehensive audits on SIRS applications. Time was taken to conduct thorough back-end checks to verify that individuals were ineligible. The Ministry of Manpower (MOM) has been progressively reaching out to ineligible SIRS recipients to refund their SIRS payout, as the various audit phases have been completed. To preserve the integrity of the scheme, MOM will seek recovery from all ineligible recipients but will consider the circumstances of each individual on appeal.",Labour & Workforce,HIGH,Social & Family Policy
D189,Imposing Limits to Credit Facilities and Charges by Platform Operators to Platform Workers Under Financing Programme,asked the Minister for Law whether the Government is considering imposing a limit to credit facilities and capping the fees and effective interest rates charged by platform operators to platform workers under their financing programme.,"Under the current framework for the regulation of moneylenders in Singapore, a platform operator may lend money to its platform workers as an exempt moneylender under the Moneylenders Act. In order to be granted an exemption, the proposed lending must be assessed to have potential benefits to borrowers, such as providing an avenue of safe credit to meet a specific need, while also having sufficient safeguards in place to protect borrowers. GFin Services (GFin), a subsidiary of Grab, is the only platform operator currently permitted to lend money specifically to Grab's platform workers under this exemption framework. The Government imposes on GFin various restrictions on lending, as conditions of the exemption, including limits on permitted fees and debt service ratios, which are generally more stringent than those applying to licensed moneylenders. There are also legislated limits on credit facilities, in particular caps on the loan quantum, for exempt moneylenders. Beyond these, GFin must additionally implement safeguards, such as an internal credit scoring system to assess the maximum loan a platform worker can take and various support initiatives for platform workers facing challenges in making repayments.",Financial Services,MEDIUM,Labour & Workforce
D197,Extending Use of Pro-family Leave to Provide Caregiving to Spouses,"asked the Minister for Education whether the Ministry will consider including spouses in the category of people whom teachers are entitled to take pro-family leave to care for, as the current policy permits such leave to be taken to care for parents and children only.","Mr Speaker, to the Member's question, the Ministry has already included spouses in the category of people whom teachers are entitled to take pro-family leave. It is already part of the Civil Service provisions, as it stands.",Labour & Workforce,MEDIUM,Education
D199,Enhancing Statutory Penalties to Minimise Impact of Sudden Closures of Early Childhood Development Centres,"asked the Minister for Social and Family Development (a) in the past five years, how many licensees of early childhood development centres have failed to give at least six months' notice before ceasing operations; and (b) whether the Ministry has considered enhancing the statutory penalties or taking other measures to minimise the impact of sudden closures of such centres.","Under the Early Childhood Development Centres (ECDC) Act, Regulations and Code of Practice, licensees are required to provide at least six months' notice to parents and the Early Childhood Development Agency (ECDA). Operators that breach these requirements may face regulatory actions, including warning letters, financial penalties or being barred from applying for future preschool licences. An average of 26 preschools per year have failed to give at least six months' notice before ceasing operations in the past five years. ECDA takes such regulatory breaches seriously and will continue to reiterate the need to meet the regulatory requirements to all operators. In cases of abrupt cessations, ECDA's priority is on the continuity of care for children. We will take steps to mitigate their impact on children and parents, such as assisting affected parents who require help with the placement of their children in alternative preschools.",Social & Family Policy,HIGH,Education
D210,"25th Percentile, Median and 75th Percentile Income of Top 1,000 Earners Who Are Singapore Citizens","asked the Prime Minister and Minister for Finance for the Year of Assessment 2024, what was the 25th percentile, median and 75th percentile income of the top 1,000 earners who are Singapore Citizens.","For the Year of Assessment 2024, the 25th percentile, median and 75th percentile income of the top 1,000 earners who are Singapore citizens are $2.5 million, $3.1 million and $4.5 million respectively.",Other / Cross-cutting,MEDIUM,Labour & Workforce
D216,"Review of Animals and Birds Act, and Factors Determining Form of Punishment for Alleged Animal Cruelty or Neglect",asked the Minister for National Development what are the guidelines and factors that the Animal & Veterinary Service (AVS) and NParks take into account in deciding whether a report of alleged animal cruelty or neglect should be addressed by (i) a warning letter (ii) a composition fine or (iii) prosecution.,asked the Minister for National Development (a) whether an update can be provided on the timeline for completing the review of the Animals and Birds Act; and (b) what specific engagements will the Ministry conduct based on the recommendations outlined in the White Paper released by SPCA and ACRES on 26 August 2025.,Environment,HIGH,Housing & Property
D218,Strengthening Support and Dignity for Migrant Domestic Workers and Singapore Families,"Mr Speaker, on behalf of Leader, I move, ""That Parliament do now adjourn.""","one that pays and one that cares – and that is the hidden reality of modern Singapore. A young couple begins with infant care. Then, childcare. Then, a parent develops dementia. Then, a spouse needs help after surgery. Then, a child has special needs. Caregiving is not a single chapter in life. It is a cycle. And holding that cycle together are more than 308,000 migrant domestic workers (MDWs) in Singapore today, up from about 247,000 just five years ago. They are not an add-on to our economy. They are the invisible workforce behind our workforce. When they function well, families work. When they fail, families can fall. That is why MDWs are not just a labour issue. They are a critical backbone of Singapore's care economy. Mr Speaker, Singapore's care burden is growing, and it is growing fast. In 2024, Singapore had 1.46 million households and 27% had at least one resident aged 65 and above. Behind that statistics are real people. In my Punggol constituency, I met a mother in her early 40s. She had two young children and she came to see me as there was an issue with processing her MDW's entry into Singapore. She shared that her father had just been diagnosed with early dementia. Her husband worked shifts. And she told me quietly, ""Without my helper, I will have to resign. There is no other way. Please help me."" This is the reality for thousands of Singaporeans. If we want women to stay in the workforce, if we want families to remain financially stable and if we want our seniors to age with dignity, then we must get home caregiving right. Mr Speaker, care works only when relationships work. Care does not fail because families do not care. It fails because relationships break down. When employers and MDWs understand each other, seniors are safer, children are calmer, families are stable and workers are treated with dignity. But when communication fails, when expectations are unclear, when skills are missing, that is when things unravel and plans fall apart. Indeed, I believe that our Singapore employers intrinsically care about their helpers, or ""aunties"", as we affectionally call our MDWs. A few seasons ago, the National Trades Union Congress (NTUC) started on a series of ""Meet-the-Members Sessions"", our labour version of the regular Meet-the-People Sessions that Members of Parliament (MPs) conduct. Members could speak with us on grievances in the workplace, unfairness and harassment issues. I had prepared myself on fronting these thorny issues, but I was surprised. In the weeks that I was the attending labour MP, the majority of our members who came to see me were MDW employers, sharing with me the issues that they had with their helpers. Perhaps, it was because I am the only female labour MP, the sharing was passionate, but the issues were common across all who came. I was impressed and heart-warmed and indeed, inspired by how the sharing was not focused on complaints of MDW behaviours and strained relations but on how the Labour Movement could give practical tips and know-how on managing and improving MDW and employer relations. It has been a while now, but I still recall how Mdm E, not her real name, a lady in her 50s, told me that after years of hiring helpers in their late-40s who were married with children, she was now the employer of a helper in her early-20s, who is single and carefree. And she had cheerfully quipped that she realised, in the same way that her children are called ""strawberries"", that there is also now a generation of ""strawberry helpers"". And in her careful observations, there are many differences in working well with the many different generations of helpers. And the differences show in many everyday practices, for example, the use of handphones, personal spaces, sleeping hours and indeed, the use of social media. Mdm E wanted to hear from our session best practices, tips and cultural norms, so that she can better navigate and manage her relations with her affectionately nicknamed ""strawberry helper"". Mdm E was not the only member who approached the session with this intent. In fact, the majority of the members who came to see me were like Mdm E. And this inspired the NTUC Woman and Family Unit to evolve these clinics and sessions into a series of highly-attended events, called ""POW-WOW: Power of Women WOW"". These sessions brought employers together with their MDWs to better access resources and strengthen relations. Indeed, during these sessions, our partners also organised an award ceremony for exemplary employer-MDW pairs, some working together for more than half their lives. These events are very well attended and our partnerships well covered, from non-governmental organisations, like the Centre for Domestic Employees (CDE); trade associations, like the Association for Employment Agencies (Singapore); to Government departments, like the Ministry of Manpower (MOM); to private firms like Singtel and DBS. These events demonstrate the openness and desire of Singapore families and their helpers to strengthen their relationships, and the many parties coming forward to offer resources to co-create possibilities, safe spaces and ecosystems for MDW-employer relations to flourish. Mr Speaker, what families really need is not just rules. They need certainty that care and trust will hold. The need for care is ever-growing, the will for better partnerships is strong and vast resources are available. I believe we can organise better to strengthen support and dignity for MDWs and our Singapore families. And that is what my proposals today are about. First, train MDWs for real caregiving. Care today is not just only about housekeeping. It is about dementia care, post-hospital recovery, disability support, child development and senior well-being. Yet, many MDWs still arrive trained mainly for chores. And this is why my first ask is this: the Caregivers Training Grant has provided excellent support for families with eldercare needs by affordably training helpers to take on caregiving duties. My ask is to expand the Caregivers Training Grant to include advanced home care as well as language training, particularly in Mandarin, Malay, Hokkien, Cantonese and other dialects, which are useful for eldercare. Currently, the NTUC's CDE has partnered with the Singapore Hokkien Huay Kuan Cultural Academy and The Salvation Army to run conversational Hokkien and Cantonese language classes for our MDWs. This has been helpful in building strong bridges between our MDWs and their families. Because when an MDW cannot understand a senior, care becomes unsafe. Language is not just a ""nice to have"". It is actually a safety issue. If a grandma in her 80s cannot tell her caregiver that she is in pain, we will have all failed her in her care needs. Second, professionalise employment agencies. Mr Speaker, I would argue that too many placements fail not because families are cruel but because they were badly matched. In my Meet-the-People Sessions, I have met many first-time employers who did not even know where to seek help when their MDW plans fail. They relied on their employment agency and many got it wrong. Take, Ms T, not her real name, for example. She came to see me as she was in a bind. She could not get along with her helper and the language barrier caused deep rifts in everyday handling of chores. She had a young child and was also worried about her child's safety as her helper had different standards when it came to safety and care. She sought the help of her employment agent but was told that there were no replacements available and if she insisted on having the agent take back the helper, she would need to pay an extra fee. This was not in the contract that she signed and she was actually covered for one free replacement. Not wanting to pay the additional fee, she forced herself to continue with the helper. In the end, they both got into a physical fight. It ended up being a viral clip, traumatising both my resident and her family and indeed, the helper. This was not a good outcome for all involved and I felt that the employment agency could have stepped in to play a larger role in mitigating. Luckily, with an appeal, our friends from the Association for Employment Agencies (Singapore) stepped in and helped both the helper and my resident out of this situation. A good, responsible employment agency makes all the difference. So, my second ask is this: raise professional standards for employment agencies, especially in handling complex care households. This is for families with frail seniors, special needs children or medical needs. Matching can be done by trained care assessors, not sales staff. A wrong match does not just only cost money; it can break a family and deeply hurt our workers. I propose enhanced training and accreditation pathways for employment agencies focused on caregiving assessment, counselling skills and individual agents to empower trade associations to reward and recognise agencies that demonstrate lower transfer rates and better post-placement outcomes, and create a stronger feedback loop between families, MDWs, employment agencies as well as Government agencies. Third, give MDWs affordable primary healthcare. Mr Speaker, our MDWs are frontline caregivers – they lift our parents, they bathe our seniors, they manage medications and yet, their own care can remain inadequately covered, especially if their employers are less resourced. So, my third ask is this: to extend a Primary Care Plan (PCP)-type scheme to our MDWs. Our PCP for migrant workers could be a model worth studying as they afford primary healthcare for workers with low co-payments. MDWs today are not covered under the PCP and their mandatory insurance does not include outpatient care, which means employers and MDWs face high out-of-pocket costs for doctor visits. This could encourage early care-seeking and can worsen health outcomes. Could the Government then consider a similar outpatient primary care scheme for MDWs? Even a modest co-payment structure for routine outpatient visits could prevent small ailments from becoming serious, thereby protecting worker welfare and reducing family anxieties. Similarly, the current basic insurance of $60,000 annual limit for the hospitalisation of a MDW might not cover more severe cases, leaving our employers responsible for the excess and payment. Mr and Mrs T first came to see me at my Meet-the-People Session, looking both concerned and actually a little guilty. They shared that they are thinking of sending back their helper who has been with them for over 20 years. She has almost become family but as she was struck with cancer and required surgery and treatment, Mr and Mrs T, as retirees, were unable to afford the out-of-pocket expenses for this. With their appeals for subsidised medical fees rejected, the family had to send their helper home, feeling guilty that they could have made a difference since the cancer was caught early. Ms W's experience caused her to fall into some financial duress. Her helper was with her for only one year, when she suddenly developed a fever and body aches. Her oxygen levels were dangerously low and Ms W had to rush her to the hospital. After several rounds of checks, her helper's condition remained undiagnosable and finally, she was certified unfit to work and was sent back to her home country. This entire episode caused Ms W to go past her insurance thresholds and, with the 25% co-payment, she had to pay a high five-digit sum out of pocket. As such, would MOM consider getting employment agencies to be clearer on their advisories to employers on the medical and hospitalisation responsibilities for their helpers? As healthcare costs increase in Singapore, too, to mandate timely reviews of insurance coverage and co-payment levels, so that our Singapore families are adequately supported when their helpers need medical and hospitalisation care. Healthy caregivers mean stable families and we need to re-focus mental health into our system. Unlike regular employees, many MDWs live relatively isolated lives, have no colleagues in the workplace and while living with families and their employers, they are separated hundreds of miles from their own families. Some are caring for sick parents back home via proxies and monthly transfers home while caring for ours here. I welcome ground-up initiatives, like the Association for Employment Agencies (Singapore) partnering with The RICE Company, to provide recreational and social integration activities, and NTUC's CDE interviewing first-time MDWs within their first six months. These programmes and safety nets – social clubs, craft workshops, excursions, counselling – help build community and resilience. So, my fourth ask is to make mental health screening and counselling part of a national MDW support framework, should the need arise, and to provide resources to scale up such social and recreational activities. To close the circle, our Singaporean families must also be encouraged to be stakeholders in this, as the care ecosystem can only be complete with our families as participants and beneficiaries alike. Fifth, create regulated part-time care pathways. Mr Speaker, our households are diverse. Some families need part-time support. Others need specialised or back-up assistance. Some need backup support beyond the traditional live-in arrangement and yet, others guard privacy above everything else, preferring a few hours of help for just a few days in a week. The current ecosystem leans very heavily on the live-in helper model, which works well for many but not for all. So, my fifth ask is to develop regulated, care-focused part-time MDWs and home care pathways. Flexibility must not mean exploitation. Protection must not mean rigidity. We need both. Building on schemes, like the Household Services Scheme, could we pilot care-focused extensions – part-time carers who are properly trained and fairly contracted or pooling arrangements where several families can share a trained worker on a regulated basis? Such models could serve our working parents, those with intermittent caregiving needs and families who cannot yet afford or require full-time live-in help. Six, levies. Let us fix our levy rules for real caregiving burdens. Today, levy concessions are based largely on age as well as people with disabilities. But care is not just about that. Caregiver burden is heavier when family's needs are complex. Residents have asked about levy concessions and targeted financial support related to hiring an MDW. Consider single mothers or fathers with special needs kids who are also caring for their senior parents. Consider families where both parents work full-time to make ends meet. Currently, the $60 concessionary levy is available for households with a child below 16 years or an adult above 67 years old. There are gaps in the current levy framework. So, my final ask is this: review levy and subsidy eligibility to reflect real dependency, not just age. This should include supervision-intensive but non-Activity for Daily Living (ADL) cases, such as early dementia, as well as youths above 16, frail adults aged 60 to 66, moderate dependency cases and families with multiple dependents that require care support. Because, really, being a single mother caring for a disabled teen and an elderly parent must feel supported as she loves and cares for her family. Mr Speaker, our MDWs are not a side story. If we want Singapore to remain strong in an ageing world, we must invest in the people who keep our homes running. By strengthening training and communication, uplifting employment agencies, improving healthcare coverage, exploring flexible care models and refining support for families with heavier caregiving burdens, we can build a caregiving ecosystem that is fair, resilient and sustainable for both Singaporean families and the MDWs who support them. I thank the House and I look forward to MOM's reply.",Labour & Workforce,HIGH,Social & Family Policy
D237,Response to Findings that Singapore is Most Expensive City in Asia for Locals and Expatriates,asked the Deputy Prime Minister and Minister for Trade and Industry (a) what is the Government's response to findings by researchers from the Lee Kuan Yew School of Public Policy that Singapore is the most expensive city in Asia for both locals and expatriates; and (b) what are the Government's plans to continue helping Singaporeans to cope with the costs of living.,"The study conducted by the Asia Competitiveness Institute (ACI) at the Lee Kuan Yew School of Public Policy analysed the cost of living for 45 cities globally. Singapore was ranked as the fourth highest for expatriates and the 28th highest for residents. The study was based on data up to the first quarter of 2025. Since then, Singapore's core inflation has moderated, coming in at 0.3% year-on-year in August compared to an average of 0.6% year-on-year in the first quarter of 2025 and 2.8% in 2024. To help Singaporean households cope with cost of living, the Government has rolled out several measures. For instance, in Budget 2025, we introduced additional support measures, such as $800 in the Community Development Council (CDC) vouchers for all Singaporean households and more U-Save rebates for eligible Housing and Development Board ( HDB) households to cope with their utilities expenses. The Government also introduced the one-off SG60 Package, which includes $600 in SG60 vouchers for all Singaporean adults and $800 for seniors. Beyond transitory cost-of-living support, the Government has strengthened our social support in housing, healthcare, education and retirement to provide Singaporeans with assurance at every stage of life. We have also introduced measures to improve the career health and employability of Singaporeans who wish to work. We will continue to monitor Singaporeans' cost of living closely and provide additional support where necessary.",Other / Cross-cutting,HIGH,Social & Family Policy
D245,New Round of SkillsFuture Funding for Adult Singaporeans amid Rapidly Evolving Job Market Requirements,"asked the Minister for Education in view of the rapidly evolving job market requiring continual updating of skills, whether the Ministry would consider providing all adult Singaporeans with a new round of SkillsFuture funding or subsidies.","SkillsFuture Singapore provides generous course fee subsidies of up to 90% to support the training needs of Singaporeans. In 2024, we introduced the SkillsFuture Level-Up Programme to further enhance support for Singaporeans aged 40 and above, who face a higher risk of skills obsolescence, in pursuing a substantive skills reboot. Government will continually review how to better support Singaporeans in their skills upgrading, but there are no immediate plans to provide another round of SkillsFuture funding or subsidies.",Labour & Workforce,HIGH,Education
D258,Considerations when Planning for Community Clubs with Mass Facilities,"asked the Acting Minister for Culture, Community and Youth (a) what factors are considered when it comes to establishing Community Clubs (CCs) with mass facilities; and (b) whether there are any plans to establish new CCs with multi-facilities.","I am answering in my capacity as the Minister charged with the responsibility for the People's Association (PA). The PA's mission is to foster social cohesion and connect the Government to people. It does this through a wide range of programmes, some of which take place at shared community spaces, such as our community clubs (CCs), for residents to bond and connect. PA plans for each CC to serve approximately 15,000 households, or 50,000 residents, as an approximate guide. Factors, such as population profile and growth, geographical and other site considerations, availability of alternative facilities as well as long-term community needs, will be taken into account when considering the size and scale of a CC and where it should be located. Barring new towns and divisions under development, PA endeavours to ensure that every resident has access to a community club within a reasonable radius, whether it is standalone CCs, co-located CCs, Integrated Community Hubs, or void-deck community centres. On occasion, when there are divisions without a CC, such as when the division is comprised of a new town or estate, PA will set up other community facilities, such as the Residents' Network Centres, located at the local precinct level to provide immediate community touchpoints for residents. Upcoming developments have been previously publicly announced to the media include Bukit Timah Integrated Development, Heart of Yew Tee and Tampines Boulevard Community Club.",Other / Cross-cutting,HIGH,Social & Family Policy
D259,Data on Debts Repaid to Creditors of Bankruptcy Estates in Last 10 Years and Plans to Enhance Creditor Recovery,"asked the Minister for Law (a) what percentage of proven debts have been repaid to creditors of bankruptcy estates administered in the past 10 years; (b) how does this compare to creditor recovery under the Debt Repayment Scheme (DRS); and (c) whether the Government has any plans to further enhance creditor recovery, under the DRS or otherwise, so that creditors can support the rehabilitation of bankrupts.","The percentage of proven debts that have been repaid in bankruptcy cases varies from case to case and depends on factors such as the circumstances in which the bankruptcy took place and other extraneous factors, as well as the subsequent recovery (or otherwise) of the bankrupt. The corresponding percentage for cases under the Debt Repayment Scheme (DRS) has been comparatively more favourable given that the DRS applies in cases where the debtor has a regular income and where the unsecured debt does not exceed $150,000. The DRS benefits both the debtor, who can avoid bankruptcy if he meets his obligations under the Scheme, and his creditors, who will receive no less than what they would have otherwise received had the debtor gone into bankruptcy. The Ministry of Law has regular dialogues with creditors to ensure that the debtors' repayment plans under the DRS continue to be viable. While the Official Assignee will make reasonable efforts to help creditors recover debt, it is necessary to balance creditors' interest against allowing bankrupts and debtors to make a fresh start in their financial affairs. We encourage lenders to exercise prudence in extending credit.",Financial Services,HIGH,Defence & Home Affairs
D260,Adequacy of ATMs for Withdrawing and Depositing Cash within Existing and New HDB Estates,asked the Prime Minister and Minister for Finance (a) what is the current number of automated teller machines (ATMs) in each HDB town; and (b) whether HDB works with banks and other Government agencies to ensure adequate provision of cash withdrawal and deposit facilities within walking distance for existing and new HDB BTO estates.,"asked the Prime Minister and Minister for Finance (a) what is the number of (i) off-premise automated teller machines (ATMs) and (ii) bank branches in each of the last 10 years; (b) how does MAS ensure adequate provision of ATMs and banking services through physical bank branches and ATMs; and (c) what are the operational requirements that are prescribed, if any, to banks.",Financial Services,HIGH,Housing & Property
D264,Number of Home Caregiving Grant Applicants and Top Conditions Cared for by Applicants,"asked the Coordinating Minister for Social Policies and Minister for Health (a) what is the cumulative number of applicants for the Home Caregiving Grant (HCG) to date; (b) what are the top three conditions cared for by HCG applicants; and (c) what is the number of applicants broken down by age group of (i) 30 to 39, (ii) 40 to 49, (iii) 50 to 59, (iv) 60 to 69, and (v) 70 years and above.","Mr Speaker, since the Home Caregiving Grant (HCG) was introduced in 2019, there have been over 94,000 applicants for the HCG cumulatively. Of which, 74% were aged 70 and above, 15% were aged 60 to 69, 5% were aged 50 to 59, 2% were aged 40 to 49, and 1% were aged 30 to 39, at the point of application. The Ministry of Health does not collect information on the specific conditions of HCG applicants.",Social & Family Policy,MEDIUM,Healthcare
D265,"Differentiating between Wealth Held by Households in Public Versus in Private Housing, and Measures to Sustain or Improve Upward Mobility Rates","asked the Prime Minister and Minister for Finance (a) whether the Ministry differentiates between wealth held in owner-occupied public housing and privately-owned housing in measuring household wealth inequality, given the differences in liquidity and ease of deployment arising from resale conditions and use-of-proceeds rules; and (b) if so, how this is taken into account in assessing households' economic resilience and in the computation of wealth Gini coefficient.","asked the Prime Minister and Minister for Finance in respect of the Ministry's Occasional Paper on income growth, inequality and social mobility trends which indicated that three in four children born into the bottom 20 percent of households in the late 1970s and 1980s moved to higher income tiers as adults, what measures are in place to sustain or improve these upward mobility rates for today's and future cohorts.",Other / Cross-cutting,HIGH,Financial Services
D266,Rationale for Minimum Eligibility Criterion of At Least One Local Employee for Energy Efficiency Grant,asked the Deputy Prime Minister and Minister for Trade and Industry (a) what is the rationale for imposing a minimum eligibility criterion of at least one local employee at the firm-level for the Energy Efficiency Grant; and (b) whether the Ministry will consider tightening this eligibility criterion.,asked the Deputy Prime Minister and Minister for Trade and Industry for an update on (a) the take up rate for the Energy Efficiency Grant (EEG); and (b) what are the total energy savings to date arising from the deployment of energy efficient equipment as a result of the EEG.,Environment,HIGH,Other / Cross-cutting
D267,Data Collection and Categorisation of Causes of Individual Bankruptcies in Last 10 Years,"asked the Minister for Law (a) what are the top five causes of individual bankruptcies in the past 10 years, including business failure; (b) how is such data collected and categorised; (c) if such data is not available, would the Ministry consider collecting them; and (d) how do we maintain a healthy risk-taking entrepreneurial culture while not indulging those who are financially reckless or irresponsible.","The top five causes of bankruptcy in the past 10 years were business failure, overspending on consumer goods and services, loss of income due to unemployment or retrenchment, liability due to guarantees and low income. This information is self-declared by debtors in their Statement of Affairs (SA), either in their bankruptcy application or upon their being made bankrupt on a creditor's application. When filling up the SA, the debtor selects the most applicable cause of insolvency from a drop-down list. To foster a vibrant, innovation-led environment for entrepreneurs to thrive, the Government has introduced a comprehensive range of schemes and programmes to support our local startups and encourage innovation. These include mentorships from Accredited Mentor Partners, grants to entrepreneurs, talent support and providing startups with spaces to meet the needs of promising founders and startup enablers and help them grow. To encourage healthy and responsible entrepreneurship, it is important that our entrepreneurs make sound financing decisions and have a stake in the outcome. For example, the Startup SG Founder grant requires a dollar-for-dollar matching by entrepreneurs. The Ministry of Law also regularly reviews the bankruptcy regime, which strikes a balance between the interests of persons seeking to engage in business activity and financial responsibility.",Other / Cross-cutting,HIGH,Financial Services
